id_nilai,nim,kode_matakuliah,nilai_angka,nilai_huruf
1,240000363,MK03,81.05,B+
2,240004021,MK09,86.33,B+
3,240003405,MK10,92.99,B
4,240000502,MK03,88.78,B+
5,240000852,MK05,74.37,C
6,240002930,MK06,71.8,A
7,240001496,MK06,95.48,B+
8,240002111,MK08,85.64,B
9,240003511,MK10,99.27,B+
10,240004376,MK07,90.94,A
11,240002858,MK05,98.28,B+
12,240004382,MK09,79.24,B+
13,240004420,MK03,69.57,C
14,240002127,MK09,63.63,B
15,240003048,MK06,61.45,B+
16,240001055,MK05,62.92,C
17,240002204,MK04,73.56,C
18,240003386,MK10,76.77,C
19,240004614,MK03,89.71,B+
20,240004399,MK01,82.1,B+
21,240001831,MK09,93.6,A
22,240004455,MK10,72.6,A
23,240000185,MK03,73.65,C
24,240000544,MK07,93.57,A
25,240001329,MK02,86.83,C
26,240001265,MK07,89.9,B
27,240002291,MK08,97.81,A
28,240001034,MK02,69.7,A
29,240002421,MK05,89.63,C
30,240001865,MK06,81.29,A
31,240001479,MK08,68.48,C
32,240003861,MK10,68.23,A
33,240003449,MK02,85.05,C
34,240000670,MK07,91.51,B
35,240002262,MK01,87.53,A
36,240000959,MK01,60.18,A
37,240002971,MK02,94.06,B
38,240000379,MK05,85.52,A
39,240002710,MK03,93.94,A
40,240000273,MK01,76.83,B
41,240003761,MK10,89.77,A
42,240001042,MK10,83.43,B
43,240002369,MK06,86.24,C
44,240000643,MK04,74.01,B
45,240001003,MK02,77.48,C
46,240003772,MK06,86.15,B+
47,240001032,MK03,93.5,B
48,240003233,MK01,70.18,A
49,240000142,MK05,64.97,A
50,240004849,MK03,72.24,B
51,240002936,MK05,72.96,C
52,240002322,MK07,98.05,B+
53,240004977,MK02,96.08,A
54,240002939,MK10,72.83,B+
55,240004975,MK06,81.33,B+
56,240004840,MK09,90.45,A
57,240004100,MK03,95.31,B
58,240000790,MK01,69.4,A
59,240003560,MK08,97.98,C
60,240003510,MK07,96.58,C
61,240002837,MK08,75.89,A
62,240003645,MK05,64.26,B+
63,240001288,MK01,82.43,A
64,240001137,MK07,78.75,B+
65,240000221,MK04,73.5,C
66,240001024,MK04,87.33,C
67,240001829,MK02,75.9,B+
68,240000382,MK04,94.46,A
69,240001064,MK04,91.62,B+
70,240003977,MK03,73.94,B+
71,240004426,MK02,86.61,A
72,240000133,MK10,87.99,B+
73,240001821,MK08,72.14,C
74,240001955,MK07,67.58,B
75,240004055,MK03,79.36,C
76,240003531,MK08,96.8,B+
77,240003723,MK10,68.84,A
78,240001793,MK06,94.39,B
79,240000420,MK03,96.67,C
80,240000138,MK06,79.91,B
81,240001352,MK01,62.77,B
82,240000566,MK02,87.52,B+
83,240001788,MK01,87.38,C
84,240001897,MK05,79.43,B+
