id_krs,nim,kode_matakuliah,semester
1,240000363,MK03,Gasal 2023/2024
2,240004021,MK09,Gasal 2023/2024
3,240002570,MK10,Gasal 2023/2024
4,240000502,MK03,Gasal 2023/2024
5,240004057,MK05,Gasal 2023/2024
6,240005680,MK06,Gasal 2023/2024
7,240000094,MK06,Gasal 2023/2024
8,240002111,MK08,Gasal 2023/2024
9,240003940,MK10,Gasal 2023/2024
10,240006030,MK07,Gasal 2023/2024
11,240003701,MK05,Gasal 2023/2024
12,240004382,MK09,Gasal 2023/2024
13,240002736,MK03,Gasal 2023/2024
14,240002195,MK09,Gasal 2023/2024
15,240003048,MK06,Gasal 2023/2024
16,240003977,MK05,Gasal 2023/2024
17,240002204,MK04,Gasal 2023/2024
18,240003386,MK10,Gasal 2023/2024
19,240004614,MK03,Gasal 2023/2024
20,240004399,MK01,Gasal 2023/2024
21,240006423,MK09,Gasal 2023/2024
22,240004455,MK10,Gasal 2023/2024
23,240003279,MK03,Gasal 2023/2024
24,240006629,MK07,Gasal 2023/2024
25,240001329,MK02,Gasal 2023/2024
26,240005729,MK07,Gasal 2023/2024
27,240002291,MK08,Gasal 2023/2024
28,240001034,MK02,Gasal 2023/2024
29,240001106,MK05,Gasal 2023/2024
30,240001865,MK06,Gasal 2023/2024
31,240001479,MK08,Gasal 2023/2024
32,240003861,MK10,Gasal 2023/2024
33,240003449,MK02,Gasal 2023/2024
34,240004794,MK07,Gasal 2023/2024
35,240002262,MK01,Gasal 2023/2024
36,240000959,MK01,Gasal 2023/2024
37,240005982,MK02,Gasal 2023/2024
38,240000379,MK05,Gasal 2023/2024
39,240002710,MK03,Gasal 2023/2024
40,240000273,MK01,Gasal 2023/2024
41,240003290,MK10,Gasal 2023/2024
42,240001042,MK10,Gasal 2023/2024
43,240002369,MK06,Gasal 2023/2024
44,240006780,MK04,Gasal 2023/2024
45,240005061,MK02,Gasal 2023/2024
46,240003772,MK06,Gasal 2023/2024
47,240001032,MK03,Gasal 2023/2024
48,240000538,MK01,Gasal 2023/2024
49,240000142,MK05,Gasal 2023/2024
50,240004849,MK03,Gasal 2023/2024
51,240002936,MK05,Gasal 2023/2024
52,240001689,MK07,Gasal 2023/2024
53,240005949,MK02,Gasal 2023/2024
54,240006192,MK10,Gasal 2023/2024
55,240004975,MK06,Gasal 2023/2024
56,240002058,MK09,Gasal 2023/2024
57,240004100,MK03,Gasal 2023/2024
58,240000790,MK01,Gasal 2023/2024
59,240003560,MK08,Gasal 2023/2024
60,240003510,MK07,Gasal 2023/2024
61,240002837,MK08,Gasal 2023/2024
62,240003645,MK05,Gasal 2023/2024
63,240002290,MK01,Gasal 2023/2024
64,240001137,MK07,Gasal 2023/2024
65,240000221,MK04,Gasal 2023/2024
66,240003489,MK04,Gasal 2023/2024
67,240006123,MK02,Gasal 2023/2024
68,240004731,MK04,Gasal 2023/2024
69,240005310,MK04,Gasal 2023/2024
70,240003977,MK03,Gasal 2023/2024
71,240004426,MK02,Gasal 2023/2024
72,240000133,MK10,Gasal 2023/2024
73,240001821,MK08,Gasal 2023/2024
74,240001955,MK07,Gasal 2023/2024
75,240004055,MK03,Gasal 2023/2024
76,240003531,MK08,Gasal 2023/2024
77,240003723,MK10,Gasal 2023/2024
78,240001793,MK06,Gasal 2023/2024
79,240001785,MK03,Gasal 2023/2024
80,240000138,MK06,Gasal 2023/2024
81,240001352,MK01,Gasal 2023/2024
82,240001187,MK02,Gasal 2023/2024
83,240001788,MK01,Gasal 2023/2024
84,240001897,MK05,Gasal 2023/2024
85,240000521,MK07,Gasal 2023/2024
86,240001191,MK06,Gasal 2023/2024
87,240006390,MK06,Gasal 2023/2024
88,240002876,MK01,Gasal 2023/2024
89,240004142,MK03,Gasal 2023/2024
90,240003439,MK08,Gasal 2023/2024
91,240002311,MK06,Gasal 2023/2024
92,240004260,MK01,Gasal 2023/2024
93,240001315,MK10,Gasal 2023/2024
94,240004861,MK09,Gasal 2023/2024
95,240000644,MK06,Gasal 2023/2024
96,240004587,MK05,Gasal 2023/2024
97,240004696,MK02,Gasal 2023/2024
98,240002470,MK01,Gasal 2023/2024
99,240001481,MK05,Gasal 2023/2024
100,240000809,MK05,Gasal 2023/2024
101,240005626,MK04,Gasal 2023/2024
102,240003654,MK04,Gasal 2023/2024
103,240003527,MK05,Gasal 2023/2024
104,240004356,MK02,Gasal 2023/2024
105,240001604,MK09,Gasal 2023/2024
106,240002643,MK01,Gasal 2023/2024
107,240003550,MK01,Gasal 2023/2024
108,240000112,MK03,Gasal 2023/2024
109,240001966,MK06,Gasal 2023/2024
110,240003792,MK05,Gasal 2023/2024
111,240001045,MK02,Gasal 2023/2024
112,240002605,MK08,Gasal 2023/2024
113,240002282,MK06,Gasal 2023/2024
114,240003377,MK10,Gasal 2023/2024
115,240001479,MK09,Gasal 2023/2024
116,240003565,MK04,Gasal 2023/2024
117,240002105,MK02,Gasal 2023/2024
118,240003646,MK10,Gasal 2023/2024
119,240004990,MK09,Gasal 2023/2024
120,240002652,MK05,Gasal 2023/2024
121,240004871,MK07,Gasal 2023/2024
122,240003922,MK08,Gasal 2023/2024
123,240004524,MK03,Gasal 2023/2024
124,240003470,MK06,Gasal 2023/2024
125,240001536,MK05,Gasal 2023/2024
126,240000475,MK08,Gasal 2023/2024
127,240005738,MK06,Gasal 2023/2024
128,240000598,MK09,Gasal 2023/2024
129,240001065,MK06,Gasal 2023/2024
130,240003512,MK07,Gasal 2023/2024
131,240002098,MK07,Gasal 2023/2024
132,240002656,MK05,Gasal 2023/2024
133,240004147,MK02,Gasal 2023/2024
134,240004960,MK04,Gasal 2023/2024
135,240005462,MK06,Gasal 2023/2024
136,240006979,MK02,Gasal 2023/2024
137,240002814,MK07,Gasal 2023/2024
138,240002200,MK09,Gasal 2023/2024
139,240000166,MK09,Gasal 2023/2024
140,240001565,MK09,Gasal 2023/2024
141,240002402,MK04,Gasal 2023/2024
142,240001451,MK07,Gasal 2023/2024
143,240002491,MK05,Gasal 2023/2024
144,240006061,MK07,Gasal 2023/2024
145,240005744,MK10,Gasal 2023/2024
146,240002398,MK02,Gasal 2023/2024
147,240002125,MK10,Gasal 2023/2024
148,240001606,MK01,Gasal 2023/2024
149,240004100,MK02,Gasal 2023/2024
150,240006428,MK10,Gasal 2023/2024
151,240002510,MK06,Gasal 2023/2024
152,240006814,MK01,Gasal 2023/2024
153,240005204,MK06,Gasal 2023/2024
154,240004599,MK06,Gasal 2023/2024
155,240006030,MK09,Gasal 2023/2024
156,240004174,MK10,Gasal 2023/2024
157,240004667,MK03,Gasal 2023/2024
158,240000509,MK05,Gasal 2023/2024
159,240006172,MK08,Gasal 2023/2024
160,240004381,MK07,Gasal 2023/2024
161,240006861,MK01,Gasal 2023/2024
162,240001620,MK05,Gasal 2023/2024
163,240005676,MK07,Gasal 2023/2024
164,240002251,MK02,Gasal 2023/2024
165,240003408,MK02,Gasal 2023/2024
166,240000709,MK04,Gasal 2023/2024
167,240001741,MK08,Gasal 2023/2024
168,240005267,MK03,Gasal 2023/2024
169,240006790,MK07,Gasal 2023/2024
170,240001100,MK05,Gasal 2023/2024
171,240000743,MK08,Gasal 2023/2024
172,240004993,MK09,Gasal 2023/2024
173,240005529,MK04,Gasal 2023/2024
174,240002666,MK06,Gasal 2023/2024
175,240004143,MK06,Gasal 2023/2024
176,240002482,MK10,Gasal 2023/2024
177,240005780,MK10,Gasal 2023/2024
178,240002816,MK04,Gasal 2023/2024
179,240003248,MK09,Gasal 2023/2024
180,240002438,MK08,Gasal 2023/2024
181,240003966,MK04,Gasal 2023/2024
182,240003008,MK02,Gasal 2023/2024
183,240001215,MK03,Gasal 2023/2024
184,240004474,MK03,Gasal 2023/2024
185,240005797,MK05,Gasal 2023/2024
186,240005273,MK02,Gasal 2023/2024
187,240000720,MK07,Gasal 2023/2024
188,240002029,MK07,Gasal 2023/2024
189,240001259,MK02,Gasal 2023/2024
190,240002450,MK05,Gasal 2023/2024
191,240003654,MK08,Gasal 2023/2024
192,240003539,MK08,Gasal 2023/2024
193,240004147,MK04,Gasal 2023/2024
194,240002888,MK06,Gasal 2023/2024
195,240000299,MK10,Gasal 2023/2024
196,240005379,MK01,Gasal 2023/2024
197,240004743,MK06,Gasal 2023/2024
198,240000240,MK10,Gasal 2023/2024
199,240001399,MK06,Gasal 2023/2024
200,240004512,MK07,Gasal 2023/2024
201,240001352,MK02,Gasal 2023/2024
202,240001538,MK10,Gasal 2023/2024
203,240005336,MK10,Gasal 2023/2024
204,240003700,MK05,Gasal 2023/2024
205,240001890,MK02,Gasal 2023/2024
206,240004321,MK06,Gasal 2023/2024
207,240001125,MK06,Gasal 2023/2024
208,240003144,MK01,Gasal 2023/2024
209,240001934,MK03,Gasal 2023/2024
