id_presensi,nim,kode_matakuliah,tanggal,status_kehadiran
1,240004537,MK07,2026-05-07,Hadir
2,240001787,MK08,2026-05-07,Hadir
3,240002856,MK02,2026-05-07,Hadir
4,240001120,MK06,2026-05-07,Hadir
5,240002731,MK07,2026-05-07,Hadir
6,240003863,MK01,2026-05-07,Tidak Hadir
7,240004678,MK06,2026-05-07,Hadir
8,240000669,MK06,2026-05-07,Hadir
9,240003217,MK05,2026-05-07,Tidak Hadir
10,240001695,MK08,2026-05-07,Hadir
11,240004877,MK05,2026-05-07,Hadir
12,240003545,MK05,2026-05-07,Hadir
13,240000802,MK04,2026-05-07,Tidak Hadir
14,240000764,MK08,2026-05-07,Hadir
15,240000003,MK06,2026-05-07,Hadir
16,240001337,MK09,2026-05-07,Hadir
17,240002678,MK08,2026-05-07,Hadir
18,240003417,MK04,2026-05-07,Hadir
19,240001719,MK06,2026-05-07,Hadir
20,240000224,MK04,2026-05-07,Hadir
21,240004739,MK05,2026-05-07,Hadir
22,240003417,MK03,2026-05-07,Hadir
23,240004687,MK03,2026-05-07,Hadir
24,240001647,MK04,2026-05-07,Tidak Hadir
25,240000891,MK01,2026-05-07,Hadir
26,240004576,MK04,2026-05-07,Tidak Hadir
27,240001952,MK04,2026-05-07,Hadir
28,240003959,MK03,2026-05-07,Hadir
29,240002435,MK08,2026-05-07,Hadir
30,240004866,MK06,2026-05-07,Tidak Hadir
31,240001563,MK02,2026-05-07,Hadir
32,240004050,MK07,2026-05-07,Hadir
33,240001639,MK07,2026-05-07,Hadir
34,240003924,MK10,2026-05-07,Hadir
35,240002223,MK09,2026-05-07,Hadir
36,240003688,MK06,2026-05-07,Hadir
37,240004427,MK10,2026-05-07,Hadir
38,240002149,MK06,2026-05-07,Hadir
39,240002327,MK09,2026-05-07,Hadir
40,240001254,MK10,2026-05-07,Hadir
41,240002600,MK02,2026-05-07,Tidak Hadir
42,240004266,MK08,2026-05-07,Hadir
43,240002750,MK07,2026-05-07,Hadir
44,240000862,MK04,2026-05-07,Hadir
45,240004726,MK08,2026-05-07,Hadir
46,240004326,MK05,2026-05-07,Hadir
47,240001867,MK08,2026-05-07,Hadir
48,240002122,MK02,2026-05-07,Hadir
49,240000549,MK09,2026-05-07,Hadir
50,240002478,MK04,2026-05-07,Hadir
51,240003694,MK06,2026-05-07,Hadir
52,240004014,MK08,2026-05-07,Hadir
53,240002381,MK03,2026-05-07,Hadir
54,240003810,MK04,2026-05-07,Hadir
55,240001429,MK04,2026-05-07,Hadir
56,240001761,MK04,2026-05-07,Hadir
57,240001649,MK03,2026-05-07,Hadir
58,240000357,MK05,2026-05-07,Tidak Hadir
59,240001095,MK03,2026-05-07,Hadir
60,240002679,MK05,2026-05-07,Hadir
61,240001028,MK09,2026-05-07,Hadir
62,240002626,MK07,2026-05-07,Hadir
63,240004464,MK04,2026-05-07,Hadir
64,240001691,MK10,2026-05-07,Hadir
65,240004744,MK09,2026-05-07,Hadir
66,240001256,MK06,2026-05-07,Hadir
67,240004073,MK02,2026-05-07,Hadir
68,240000475,MK08,2026-05-07,Hadir
69,240003457,MK09,2026-05-07,Hadir
70,240002052,MK08,2026-05-07,Hadir
71,240002942,MK08,2026-05-07,Hadir
72,240001342,MK09,2026-05-07,Hadir
73,240002895,MK03,2026-05-07,Hadir
74,240000662,MK03,2026-05-07,Hadir
75,240004783,MK08,2026-05-07,Hadir
76,240001536,MK04,2026-05-07,Hadir
77,240001558,MK04,2026-05-07,Hadir
78,240002010,MK05,2026-05-07,Hadir
79,240000413,MK03,2026-05-07,Hadir
80,240004978,MK07,2026-05-07,Hadir
81,240002903,MK05,2026-05-07,Hadir
82,240004756,MK05,2026-05-07,Hadir
83,240004458,MK04,2026-05-07,Hadir
84,240001216,MK02,2026-05-07,Tidak Hadir
85,240003471,MK02,2026-05-07,Hadir
86,240001941,MK06,2026-05-07,Tidak Hadir
87,240001226,MK09,2026-05-07,Hadir
88,240002107,MK02,2026-05-07,Hadir
89,240000671,MK04,2026-05-07,Hadir
90,240000728,MK09,2026-05-07,Hadir
91,240004078,MK03,2026-05-07,Hadir
92,240002618,MK06,2026-05-07,Hadir
93,240004867,MK01,2026-05-07,Hadir
94,240001456,MK02,2026-05-07,Tidak Hadir
95,240003768,MK01,2026-05-07,Hadir
96,240000405,MK02,2026-05-07,Hadir
97,240003349,MK08,2026-05-07,Hadir
98,240002270,MK07,2026-05-07,Tidak Hadir
99,240000275,MK03,2026-05-07,Hadir
100,240004118,MK03,2026-05-07,Hadir
101,240003263,MK05,2026-05-07,Tidak Hadir
102,240003988,MK04,2026-05-07,Hadir
103,240000110,MK06,2026-05-07,Hadir
104,240000798,MK10,2026-05-07,Hadir
105,240003852,MK05,2026-05-07,Tidak Hadir
106,240004115,MK04,2026-05-07,Hadir
107,240004347,MK09,2026-05-07,Hadir
108,240003356,MK04,2026-05-07,Hadir
109,240004502,MK05,2026-05-07,Hadir
110,240000276,MK03,2026-05-07,Hadir
111,240002229,MK05,2026-05-07,Hadir
112,240002439,MK03,2026-05-07,Hadir
113,240003172,MK01,2026-05-07,Hadir
114,240003950,MK06,2026-05-07,Tidak Hadir
115,240000228,MK06,2026-05-07,Hadir
116,240004732,MK07,2026-05-07,Hadir
117,240003486,MK10,2026-05-07,Hadir
118,240003939,MK04,2026-05-07,Hadir
119,240002519,MK05,2026-05-07,Hadir
120,240000018,MK03,2026-05-07,Hadir
121,240001594,MK05,2026-05-07,Hadir
122,240001832,MK04,2026-05-07,Hadir
123,240002219,MK06,2026-05-07,Hadir
124,240000705,MK09,2026-05-07,Hadir
125,240001971,MK06,2026-05-07,Hadir
126,240002162,MK08,2026-05-07,Hadir
127,240003067,MK04,2026-05-07,Tidak Hadir
128,240003504,MK07,2026-05-07,Hadir
129,240003504,MK09,2026-05-07,Hadir
130,240000409,MK01,2026-05-07,Hadir
131,240004803,MK04,2026-05-07,Hadir
132,240004876,MK02,2026-05-07,Hadir
133,240003643,MK01,2026-05-07,Hadir
134,240003486,MK01,2026-05-07,Hadir
135,240003299,MK06,2026-05-07,Hadir
136,240003523,MK09,2026-05-07,Hadir
137,240003634,MK10,2026-05-07,Hadir
