id_prodi,nama_prodi,id_fakultas,id_univ
PRODI01,Sistem Informasi,2,2
PRODI02,Informatika,7,2
PRODI03,Teknik Elektro,11,1
PRODI04,Teknik Sipil,5,1
PRODI05,Teknik Industri,6,2
PRODI06,Teknik Kimia,3,1
PRODI07,Arsitektur,10,1
PRODI08,Manajemen,7,1
PRODI09,Akuntansi,5,2
PRODI10,Ekonomi Pembangunan,5,2
PRODI11,Bisnis Digital,8,2
PRODI12,Kedokteran,8,2
PRODI13,Farmasi,10,2
PRODI14,Kesehatan Masyarakat,4,2
PRODI15,Ilmu Keperawatan,11,2
PRODI16,Kedokteran Gigi,4,2
PRODI17,Psikologi,6,1
PRODI18,Hukum,10,2
PRODI19,Ilmu Komunikasi,6,1
PRODI20,Hubungan Internasional,6,2
PRODI21,Sosiologi,9,2
PRODI22,Sastra Inggris,7,1
PRODI23,Sastra Indonesia,1,1
PRODI24,Pendidikan Matematika,6,1
PRODI25,Pendidikan Fisika,8,1
PRODI26,Pendidikan Biologi,11,2
PRODI27,Ilmu Hadis,8,2
PRODI28,Perbankan Syariah,6,2
PRODI29,Gizi,10,2
PRODI30,Matematika,1,2
PRODI31,Fisika,3,1
PRODI32,Biologi,1,2
PRODI33,Kimia,4,2
PRODI34,Teknik Mesin,9,2
PRODI35,Ilmu Politik,1,2
PRODI36,Pendidikan Bahasa Arab,8,2
PRODI37,Teknologi Pangan,10,2
